5;草;grass, weed;そう;くさ
5;言;say;げん, ごん;い.う, こと
5;何;what;か;なに, なん
5;光;sunlight, light;こう;ひかり, ひか.る
5;羽;feather, feathers, wing, wings;;はね, は
5;弟;younger brother, little brother;だい, で, てい;おとうと
6;亡;deceased, death;ぼう;な.く
6;安;relax, cheap;あん;やす.い
6;両;both;りょう;
6;知;know;ち;し.る
6;明;bright;めい;あ, あか.るい
6;歩;walk;ほ;ある.く
6;店;shop, store;てん;みせ
6;科;science;か;
6;南;south;なん;みなみ
6;活;lively;かつ;
6;海;sea, ocean;かい;うみ
6;死;death;し;し.ぬ
6;羊;sheep;よう;ひつじ
6;前;front, before;ぜん;まえ
6;長;long, leader;ちょう;なが.い
6;星;star;せい;ほし
6;次;next;じ;つぎ
6;有;have;ゆう, う;あ.る
6;姉;older sister, big sister, elder sister;し;お.ねえ, あね, ねえ
6;後;behind, after, back, rear;ご, こう;うし.ろ, あと, のち
6;国;country;こく;くに
6;京;capital;きょう;みやこ
6;食;eat, meal;しょく;た.べる, く
6;妹;younger sister, little sister;まい;いもうと
6;地;earth, ground;ち, じ;
6;夜;night, evening;や;よ, よる
6;州;state, province, county;しゅう;
6;点;point, decimal, decimal point;てん;つ.ける
6;思;think, thought;し;おも.う
6;直;fix, direct;ちょく, じき;なお.す
6;画;drawing, painting;が, かく;
6;向;yonder, facing;こう;む.き
6;首;neck;しゅ;くび
6;室;room;しつ;
6;化;change;か;ば.ける, ば.かす
6;茶;tea;ちゃ, さ;
6;曲;music, bend;きょく;ま.げる, ま.がる
6;全;all, whole;ぜん;すべ.て, まった.く
6;血;blood;けつ;ち
6;東;east;とう;ひがし
7;札;bill, label, note;さつ;ふだ
7;夏;summer;げ, か, が;なつ
7;失;fault;しつ;うしな.う
7;必;certain;ひつ;かなら.ず
7;末;end;まつ;すえ
7;校;school;こう;
7;家;house, home;か, け;いえ, や, うち
7;紙;paper;し;かみ
7;魚;fish;ぎょ;さかな
7;理;reason;り;ことわり
7;鳥;bird;ちょう;とり
7;船;boat, ship;せん;ふね
7;週;week;しゅう;
7;雪;snow;せつ;ゆき
7;黄;yellow;おう;き
7;由;reason;ゆう;よし, よ.る
7;通;pass through;つう;とお.る, かよ.う
7;高;tall, expensive, high;こう;たか.い
7;未;not yet;み;ま.だ, いま.だ, ひつじ
7;欠;lack;けつ;か.ける
7;氏;family name, last name, surname;し;うじ
7;黒;black;こく;くろ.い
7;民;peoples, people, nation;みん;たみ
7;付;attach;ふ;つ
7;弱;weak;じゃく;よわ.い
7;辺;area;へん;あた.り, べ
7;組;group, association, team;そ;くみ
7;強;strong, strength;きょう;つよ.い
7;時;time, o'clock, hour;じ;とき
7;以;by means of, by the means of, by way of, by the way of;い;
7;教;teach;きょう;おし.える, おそ.わる
7;風;wind, style;ふう;かぜ
7;記;write down, record;き;しる.す
8;森;forest, woods;しん;もり
8;対;versus;たい;
8;君;buddy;くん;きみ
8;投;throw;とう;な
8;役;service, duty;やく;
8;買;buy;ばい;か
8;馬;horse;ば;うま
8;研;sharpen;けん;と
8;絵;drawing, painting;え;
8;楽;comfort, ease, pleasure;がく, らく;たの.しい
8;話;talk, speak;わ;はな.す, はなし
8;数;count, number, amount;すう;かぞ.える, かず
8;所;place;しょ;ところ
8;住;dwelling, reside, dwell;じゅう;す.む
8;電;electricity;でん;
8;反;anti;はん;
8;答;answer, response, reply;とう;こた
8;番;number in a series, turn, ordinal number;ばん;
8;決;decide, decision;けつ;き.める
8;医;medicine;い;
8;間;interval, interval of time, time interval;かん, けん;あいだ, ま
8;局;bureau, department;きょく;
8;身;somebody, someone, body;しん;み
8;合;suit, fit, join;ごう, がっ;あ, あい
8;朝;morning;ちょう;あさ
8;雲;cloud;うん;くも
8;場;location, place;じょう;ば
8;者;someone, somebody;しゃ;もの
8;道;road, street, path, way;どう;みち
8;支;support, branch;し;ささ.える
8;究;research;きゅう;きわ.める
8;助;help;じょ;たす, すけ
9;度;degrees, occurrence;ど, たく;たび
9;乗;ride;じょう;の
9;負;lose;ふ;ま.ける, お.う
9;県;prefecture;けん;
9;重;heavy;じゅう, ちょう;おも.い, かさ, え
9;物;thing;ぶつ, もつ;もの
9;新;new;しん;あたら.しい, あら.た, にい
9;使;use;し;つか.う
9;勝;win;しょう;か.つ
9;予;beforehand;よ;あらかじ
9;泳;swim;えい;およ
9;具;tool;ぐ;
9;持;hold;じ;も
9;送;send;そう;おく.る
9;服;clothes, clothing;ふく;
9;談;discuss;だん;
9;美;beauty, beautiful;び;うつく.しい
9;表;express;ひょう;あらわ.す, おもて
9;返;return;へん;かえ.る, かえ.す
9;界;world;かい;
9;発;departure;はつ;
9;客;guest;きゃく;
9;待;wait;たい;ま
9;部;part, department, club;ぶ;へ
9;事;action, matter, thing;じ;こと, つか
9;仮;temporary;か;かり
9;受;accept, receive;じゅ;う
9;実;truth, reality;じつ;み
9;相;mutual;そう, しょう;あい
9;屋;roof, shop, store;おく;や
9;要;need;よう;い, かなめ
9;苦;suffering;く;くる, にが
9;和;peace, japanese style;わ, お;なご
9;始;begin, start;し;はじ
9;定;determine;てい, じょう;さだ
10;農;farming, agriculture;のう;
10;鳴;chirp;めい;な
10;親;parent;しん;おや, した.しい
10;集;collect, gather;しゅう;あつ.まる
10;酒;alcohol;しゅ;さけ, さか
