Kanji,Heisig Keyword,English Meaning,stroke count,Heisig RTK Index,RTK2 Index,2k1KO Index,Opt Vocab Sort Index,Kanji Learner Course Index,KanKen (Jun1=1.5) (Jun2=2.5),Freq.,Number (KANJIDIC),JIS,Kana,Joyo ON (* = not common),Joyo On (Kanji),Joyo On (Kana),Joyo Kun (Kanji),Joyo Kun (Kana),Primitive look-up data.,Japan Primitive Look-up,Joyo Kun (* = not common),All Kana,2k1KO Book
弔,condolences,"condolences, mourning, funeral ",4,1233,1874,1963,1963,1186,2.5,2147,1884,4424,チョウ    とむら.う    とぶら.う    ,チョウ,"[弔問, 弔辞, 慶弔]","[ちょうもん, ちょうじ, けいちょう]",弔う,とむら.う,",condolences,bow,walking stick,",",yumi,",とむら-う,チョウ    とむら.う    とぶら.う    ,4 2k1KO
丹,cinnabar,"rust-colored, red, read lead, pills ",4,2038,2216,1964,1964,667,4,1421,1802,4330,タン    に    ,タン,"[丹念, 丹精]","[たんねん, たんせい]",,,",rust colored,cinnabar,ship's funnel,",",",,タン    に    Name Readings:  た    たみ    まこと    ,4 2k1KO
斗,Big Dipper,"Big Dipper, 10 sho (vol), sake dipper ",4,1177,1912,1965,1965,757,3,1861,2019,454D,ト    トウ    ,ト,"[斗酒, 北斗七星]","[とさけ, ほくとしちほし]",,,",big dipper,measuring cup,big dipper,The Plough,drop,ten,needle,",",tenn,juu,tomasu,",,ト    トウ    Name Readings:  ます    T2とます    ,4 2k1KO
孔,cavity,"cavity, hole, slit, very, great, exceedingly ",4,96,1724,1966,1966,1559,3,1979,852,3926,コウ    あな    ,コウ,"[鼻孔, 気孔]","[びこう, きこう]",,,",cavity,child,fishhook,",",otsu,otu,kohen,",,コウ    あな    Name Readings:  のり    ,4 2k1KO
暁,daybreak,"daybreak, dawn, in the event ",12,1201,2179,1967,1967,770,2.5,1770,603,3647,ギョウ    キョウ    あかつき    さと.る    ,ギョウ,"[暁天, 今暁, 通暁]","[あかつきてん, いまあかつき, つうぎょう]",暁,あかつき,",daybreak,sun,lofty,strawman,wickerman,haystack,ten,needle,one,human legs,needle3,ten3,",",ichi,iti,hitoashi,hitoasi,juu,nichi,jitsu,",あかつき,ギョウ    キョウ    あかつき    さと.る    Name Readings:  あき    あきら    あけ    さと    さとる    てる    ,4 2k1KO
罷,quit,"quit, stop, leave, withdraw, go ",15,2032,1852,1968,1968,895,2.5,2218,2333,486D,ヒ    まか.り-    や.める    ,ヒ,"[罷業, 罷免]","[ひぎょう, ひめん]",,,",quit,eye,cross-eyed,net,ability,elbow,moon,month,flesh,part of the body,spoon,sitting on the ground,spoon2,sitting on the ground2,",",saji,mu,tsuki,getsu,me,amigashira,",,ヒ    まか.り-    や.める    ,4 2k1KO
款,goodwill,"goodwill, article, section, friendship, collusion ",12,1097,1742,1969,1969,2051,2.5,1657,406,343E,カン    ,カン,"[定款, 借款, 落款]","[ていかん, しゃっかん, らくかん]",,,",goodwill,samurai,altar,show,two,small,lack,yawn,",",ni,samurai,chiisai,akubi,shimesu,nehen,",,カン    Name Readings:  まさ    ,4 2k1KO
矯,rectify,"rectify, straighten, correct, reform, cure, control, pretend, falsify ",17,1221,294,1970,1970,1579,2.5,2085,590,363A,キョウ    た.める    ,キョウ,"[矯正, 奇矯]","[きょうせい, ききょう]",矯める,た.める,",rectify,dart,drop,heavens,angel,heavens,mouth,hood,mouth,mouth2,",",tenn,dougamae,kuchi,kuti,ya,",た-める,キョウ    た.める    ,4 2k1KO
瓶,flower pot,"flower pot, bottle, vial, jar, jug, vat, urn ",11,1032,931,1971,1971,2169,2.5,1639,2401,4953,ビン    かめ    ,ビン,"[瓶, 瓶詰, 花瓶]","[かめ, びんづめ, かびん]",,,",flower pot,puzzle,horns,two hands,tile,one,ceiling,cane,stick,drop,fishhook,ice,",",ichi,iti,tenn,otsu,otu,nisui,nijuuashi,nijuuasi,kawara,",,ビン    かめ    Name Readings:  へい    べ    ぺ    ,4 2k1KO
銑,pig iron,pig iron ,14,270,247,1972,1972,2068,2.5,2660,1611,412D,セン    ,セン,[銑鉄],[せんてつ],,,",pig-iron,metal,gold,before,cow,human legs,",",hitoashi,hitoasi,ushi,kane,",,セン    ,4 2k1KO
錘,spindle,"weight, plumb bob, sinker ",16,1584,738,1973,1973,1011,2.5,2779,1488,3F6E,スイ    つむ    おもり    ,スイ,[紡錘],[ぼうすい],錘,つむ,",spindle,metal,gold,droop,drop,silage,walking cane,stick,one,floor,",",ichi,iti,tenn,kane,",つむ,スイ    つむ    おもり    ,4 2k1KO
虞,uneasiness,"uneasiness, fear, anxiety, concern ",13,1995,657,1974,1974,2001,2.5,2917,647,3673,グ    おそれ    ,,,,虞,おそれ,",uneasiness,tiger,give,mouth,chair,tool,",",kuchi,kuti,tora,",おそれ,グ    おそれ    ,4 2k1KO
詔,imperial edict,imperial edict ,12,342,683,1975,1975,1107,2.5,2460,1375,3E5B,ショウ    みことのり    ,ショウ,"[詔勅, 詔書]","[しょうちょく, しょうしょ]",詔,みことのり,",imperial edict,say,words,keitai,mouth,summon,seduce,sword,dagger,mouth,mouth2,",",katana,kuchi,kuti,kotoba,gonben,",みことのり,ショウ    みことのり    Name Readings:  さとし    のり    ,4 2k1KO
遵,abide by,"abide by, follow, obey, learn ",14,2031,2181,1976,1976,803,3,2872,1291,3D65,ジュン    ,ジュン,"[遵守, 遵法]","[じゅんしゅ, じゅんぽう]",,,",abide by,revered,Mother Teresa,chieftain,Molotov cocktail,animal horns,whiskey bottle,glue,road,",",sunn,shinnyou,tori,hiyominotori,",,ジュン    ,4 2k1KO
