Kanji,Heisig Keyword,English Meaning,stroke count,Heisig RTK Index,RTK2 Index,2k1KO Index,Opt Vocab Sort Index,Kanji Learner Course Index,KanKen (Jun1=1.5) (Jun2=2.5),Freq.,Number (KANJIDIC),JIS,Kana,Joyo ON (* = not common),Joyo On (Kanji),Joyo On (Kana),Joyo Kun (Kanji),Joyo Kun (Kana),Primitive look-up data.,Japan Primitive Look-up,Joyo Kun (* = not common),All Kana,2k1KO Book
々,,"NOMA (repetition marker), beggar, beg, give ",4,0,0,2001,0,0,1,0,2967,5022,カイ    こ.う    ,,,,,,,,,カイ    こ.う    ,4 2k1KO
一,one,one ,1,1,965,1,1,2,10,2,76,306C,イチ    イツ    ひと-    ひと.つ    ,イチ、イツ,"[一度, 一座, 第一];  [一般, 同一, 統一]","[いちど, いちざ, だいいち]; [いっぱん, どういつ, とういつ]",一; 一つ,ひと; ひと.つ,",One,",",ichi,iti,",ひと、ひと-つ,イチ    イツ    ひと-    ひと.つ    Name Readings:  かず    い    いっ    いる    かつ    かづ    てん    はじめ    ひ    ひとつ    まこと    ,1 2k1KO
二,two,two ,2,2,1,2,2,3,10,30,2151,4673,ニ    ジ    ふた    ふた.つ    ふたた.び    ,ニ,"[二番目, 二分, 十二月]","[にばんめ, にぶん, じゅうにがつ]",二; 二つ,ふた; ふた.つ,",two,",",ni,",ふた、ふた-つ,ニ    ジ    ふた    ふた.つ    ふたた.び    Name Readings:  おと    つぐ    にい    は    ふ    ふたつ    ふだ    わ    ,1 2k1KO
三,three,three ,3,3,2,3,3,4,10,25,1050,3B30,サン    ゾウ    み    み.つ    みっ.つ    ,サン,"[三角, 三流, 再三]","[さんかく, さんりゅう, さいさん]",三; 三つ; 三つ,み; み.つ; みっ.つ,",three,",",sann,",み、み-つ、みっ-つ,サン    ゾウ    み    み.つ    みっ.つ    Name Readings:  か    さ    さい    さえ    さぶ    ざ    ざえ    ざぶ    そう    ぞ    ただ    みつ    みん    も    や    ,1 2k1KO
四,four,four ,5,4,967,4,4,6,10,141,1079,3B4D,シ    よ    よ.つ    よっ.つ    よん    ,シ,"[四角, 四季, 四十七士]","[しかく, しき, しじゅうしちし]",四; 四つ; 四つ; 四,よ; よ.つ; よっ.つ; よん,",four,pent in,human legs,",",hitoashi,hitoasi,kunigamae,",よ、よ-つ、よっ-つ、よん,シ    よ    よ.つ    よっ.つ    よん    Name Readings:  あ    つ    よつ    ,1 2k1KO
五,five,five ,4,5,85,5,5,7,10,138,814,385E,ゴ    いつ    いつ.つ    ,ゴ,"[五穀, 五色, 五目飯]","[ごこく, ごしき, ごもくめし]",五; 五つ,いつ; いつ.つ,",five,",",go,",いつ、いつ-つ,ゴ    いつ    いつ.つ    Name Readings:  い    さ    さつ    ち    ふ    み    め    ,1 2k1KO
六,six,six ,4,6,971,6,6,8,10,212,2941,4F3B,ロク    リク    む    む.つ    むっ.つ    むい    ,ロク,"[六月, 六法, 丈六]","[ろくがつ, ろっぽう, たけろく]",六; 六つ; 六つ,む; む.つ; むっ.つ,",six,top hat,animal legs,",",nabebuta,hachi,hati,",む、む-つ、むっ-つ、むい*,ロク    リク    む    む.つ    むっ.つ    むい    Name Readings:  く    むつ    ろっ    ろつ    ,1 2k1KO
七,seven,seven ,2,7,968,7,7,9,10,221,1151,3C37,シチ    なな    なな.つ    なの    ,シチ,"[七五三, 七福神]","[しちごさん, しちふくじん]",七; 七つ,なな; なな.つ,",seven,diced,",",nana,shichi,siti,",なな、なな-つ、なの*,シチ    なな    なな.つ    なの    Name Readings:  し    しっ    な    ひち    ,1 2k1KO
八,eight,eight ,2,8,1159,8,8,10,10,164,2268,482C,ハチ    や    や.つ    やっ.つ    よう    ,ハチ,"[八月, 八方]","[はちがつ, はっぽう]",八; 八つ; 八つ,や; や.つ; やっ.つ,",eight,",",hachi,hati,",や、や-つ、やっ-つ、よう*,ハチ    や    や.つ    やっ.つ    よう    Name Readings:  な    は    はっ    はつ    やち    やつ    T2はちがしら    ,1 2k1KO
九,nine,nine ,2,9,969,9,9,11,10,213,633,3665,キュウ    ク    ここの    ここの.つ    ,キュウ、ク,"[九百, 三拝九拝];  [九分九厘, 九月]","[きゅうひゃく, さんはいきゅうはい]; [くぶくりん, くがつ]",九; 九つ,ここの; ここの.つ,",nine,baseball,",",kyuu,ku,",ここの、ここの-つ,キュウ    ク    ここの    ここの.つ    Name Readings:  いちじく    いちのく    この    ひさし    ,1 2k1KO
十,ten,ten ,2,10,971,10,10,5,10,38,1251,3D3D,ジュウ    ジッ    ジュッ    とお    と    ,ジュウ、ジッ,"[十字架, 十文字];  [十回]","[じゅうじか, じゅうもんじ]; [じゅうかい]",十; 十,と; とお,",ten,needle,",",juu,",とお、と,ジュウ    ジッ    ジュッ    とお    と    Name Readings:  い    か    ぎ    さ    し    そ    そう    ち    とう    ね    ま    る    わ    ,1 2k1KO
百,hundred,hundred ,6,38,550,11,11,16,10,195,2370,4934,ヒャク    ビャク    もも    ,ヒャク,"[百貨店, 百科全書, 数百]","[ひゃっかてん, ひゃっかぜんしょ, すうひゃく]",,,",hundred,one,ceiling,white,dove,",",ichi,iti,shiro,",,ヒャク    ビャク    もも    Name Readings:  お    ど    どう    なり    ひゃっ    ひゅく    も    もんど    ゆ    ,1 2k1KO
千,thousand,thousand ,3,40,4,12,12,17,10,174,1577,4069,セン    ち    ,セン,"[千円, 千人力, 千差万別]","[せんえん, せんにんちから, せんさばんべつ]",千,ち,",thousand,drop,ten,needle,",",tenn,juu,",ち,セン    ち    Name Readings:  かず    ゆき    ,1 2k1KO
万,ten thousand,ten thousand ,3,64,973,13,13,18,9,193,2630,4B7C,マン    バン    よろず    ,マン、バン,"[万一, 万年筆, 巨万];  [万国, 万端, 万全]","[まんいち, まんねんひつ, きょまん]; [ばんこく, ばんたん, ばんぜん]",,,",ten thousand,one,ceiling,bound up,",",ichi,iti,tsutsumigamae,tutumigamae,",,マン    バン    よろず    Name Readings:  かず    ま    ゆる    ,1 2k1KO
億,hundred million,"hundred million, 10**8 ",15,983,854,14,14,622,7,555,203,322F,オク    ,オク,"[億万, 一億]","[おくまん, いちおく]",,,",hundred million,person,idea,sound,vase,stand up,sun,day,heart,",",hito,ninben,kokoro,nichi,jitsu,tatsu,oto,",,オク    Name Readings:  お    ,1 2k1KO
兆,portent,"portent, 10**12, trillion, sign, omen, symptoms ",6,235,1168,15,15,1827,7,1243,1877,437B,チョウ    きざ.す    きざ.し    ,チョウ,"[兆候, 前兆, 億兆]","[ちょうこう, ぜんちょう, おくちょう]",兆し; 兆す,きざ.し; きざ.す,",portent,turtle,portent,",",kizashi,",きざ-す、きざ-し,チョウ    きざ.す    きざ.し    ,1 2k1KO
円,circle,"circle, yen, round ",4,1811,972,16,16,13,10,86,157,315F,エン    まる.い    まる    まど    まど.か    まろ.やか    ,エン,"[円卓, 円熟, 一円]","[えんたく, えんじゅく, いちえん]",円い,まる.い,",circle,yen,",",",まる-い,エン    まる.い    まる    まど    まど.か    まろ.やか    Name Readings:  つぶら    のぶ    まどか    みつ    ,1 2k1KO
時,time,"time, hour ",10,159,970,17,17,383,9,11,1128,3B7E,ジ    とき    -どき    ,ジ,"[時間, 時候, 当時]","[じかん, じこう, とうじ]",時,とき,",time,sun,day,Buddhist temple,soil,dirt,ground,glue,",",tsuchi,tuti,sunn,nichi,jitsu,",とき,ジ    とき    -どき    Name Readings:  と    とぎ    ,1 2k1KO
寺,Buddhist temple,Buddhist temple ,6,158,1433,18,18,382,9,789,1125,3B7B,ジ    てら    ,ジ,"[寺院, 社寺, 末寺]","[じいん, しゃじ, まつてら]",寺,てら,",buddhist temple,soil,dirt,ground,glue,",",tsuchi,tuti,sunn,",てら,ジ    てら    ,1 2k1KO
日,day,"day, sun, Japan ",4,12,561,19,19,1,10,1,2160,467C,ニチ    ジツ    ひ    -び    -か    ,ニチ、ジツ,"[日時, 日光, 毎日];  [連日, 平日, 休日]","[にちじ, にっこう, まいにち]; [れんじつ, へいじつ, きゅうじつ]",日; 日,か; ひ,",day,sun,",",nichi,jitsu,",ひ、か,ニチ    ジツ    ひ    -び    -か    Name Readings:  あ    あき    いる    く    くさ    こう    す    たち    に    にっ    につ    へ    ,1 2k1KO
月,month,"month, moon ",4,13,546,20,20,23,10,12,736,376E,ゲツ    ガツ    つき    ,ゲツ、ガツ,"[月曜, 明月, 歳月];  [正月, 九月]","[げつよう, めいげつ, さいげつ]; [しょうがつ, くがつ]",月,つき,",month,moon,month,flesh,part of the body,",",tsuki,getsu,",つき,ゲツ    ガツ    つき    Name Readings:  おと    がっ    す    ずき    もり    ,1 2k1KO
火,fire,fire ,4,161,976,21,21,26,10,450,236,3250,カ    ひ    -び    ほ-    ,カ,"[火災, 灯火, 発火]","[かさい, とうか, はっか]",火,ひ,",fire,",",hi,renga,rekka,",ひ、ほ*,カ    ひ    -び    ほ-    ,1 2k1KO
水,water,water ,4,130,979,22,22,27,10,163,1479,3F65,スイ    みず    みず-    ,スイ,"[水分, 水陸, 海水]","[すいぶん, すいりく, かいすい]",水,みず,",water,",",mizu,sanzui,",みず,スイ    みず    みず-    Name Readings:  うず    ずみ    つ    ど    み    みさ    みつ    みな    みん    ,1 2k1KO
木,tree,"tree, wood ",4,195,980,23,23,28,10,207,2690,4C5A,ボク    モク    き    こ-    ,ボク、モク,"[木石, 大木, 土木];  [木造, 樹木, 材木]","[ぼくせき, たいぼく, どぼく]; [もくぞう, じゅもく, ざいもく]",木,き,",tree,wood,",",ki,moku,",き、こ*,ボク    モク    き    こ-    Name Readings:  ぐ    も    もと    ,1 2k1KO
金,gold,gold ,8,269,984,24,24,29,10,58,630,3662,キン    コン    ゴン    かね    かな-    -がね    ,キン、コン,"[金属, 金銭, 純金];  [金色, 金剛力, 黄金]","[きんぞく, きんせん, じゅんきん]; [きんいろ, こんごうりき, おうごん]",金,かね,",gold,metal,gold,umbrella,drop,king,jewel,ball,drop2,",",tenn,tama,kane,",かね、かな*,キン    コン    ゴン    かね    かな-    -がね    Name Readings:  かん    きむ    こ    この    ん    ,1 2k1KO
土,soil,"soil, earth, ground, Turkey ",3,150,987,25,25,30,10,327,2032,455A,ド    ト    つち    ,ド、ト,"[土木, 国土, 粘土];  [土地]","[どぼく, こくど, ねんど]; [とち]",土,つち,",soil,dirt,ground,",",tsuchi,tuti,",つち,ド    ト    つち    Name Readings:  つ    つく    は    ひじ    ,1 2k1KO
曜,weekday,weekday ,18,576,976,26,26,25,9,866,2769,4D4B,ヨウ    ,ヨウ,"[曜日, 七曜表, 日曜]","[ようび, しちようおもて, にちよう]",,,",weekday,sun,day,futon,feathers,wings,turkey,",",nichi,jitsu,hane,furutori,",,ヨウ    Name Readings:  てる    ,1 2k1KO
週,week,week ,10,318,1534,27,27,305,9,466,1243,3D35,シュウ    ,シュウ,"[週刊, 週末, 毎週]","[しゅうかん, しゅうまつ, まいしゅう]",,,",week,circumference,running track,earthenware jar,lidded crock,soil,dirt,ground,mouth,road,",",kuchi,kuti,tsuchi,tuti,shinnyou,",,シュウ    ,1 2k1KO
年,year,year ,6,1036,1008,28,28,117,10,6,2177,472F,ネン    とし    ,ネン,"[年代, 少年, 豊年]","[ねんだい, しょうねん, ほうねん]",年,とし,",year,sign of the horse,sunglasses,",",maiashi,",とし,ネン    とし    Name Readings:  ね    ,1 2k1KO
分,part,"part, minute of time, segment, share, degree, one's lot, duty, understand, know, rate, 1%, chances, shaku/100 ",4,781,945,29,29,88,9,14,2456,4A2C,ブン    フン    ブ    わ.ける    わ.け    わ.かれる    わ.かる    わ.かつ    ,ブン、フン、ブ,"[分解, 自分, 水分];  [分別, 分銅, 三十分];  [一分一厘, 五分]","[ぶんかい, じぶん, すいぶん]; [ふんべつ, ふんどう, さんじゅうふん]; [いちぶいちりん, ごぶ]",分かつ; 分かる; 分かれる; 分ける,わ.かつ; わ.かる; わ.かれる; わ.ける,",part,eight,sword,dagger,",",katana,",わ-ける、わ-かれる、わ-かる、わ-かつ,ブン    フン    ブ    わ.ける    わ.け    わ.かれる    わ.かる    わ.かつ    Name Readings:  いた    わけ    ,1 2k1KO
何,what,what ,7,1012,106,30,30,815,9,282,219,323F,カ    なに    なん    なに-    なん-    ,カ,[幾何学],[きかがく],何,なに,",what,person,can,mouth,street,nail,spike,",",hito,ninben,kuchi,kuti,",なに、なん*,カ    なに    なん    なに-    なん-    Name Readings:  あが    ,1 2k1KO
先,before,"before, ahead, previous, future, precedence ",6,248,245,31,31,134,10,149,1576,4068,セン    さき    ま.ず    ,セン,"[先方, 先生, 率先]","[せんぽう, せんせい, そっせん]",先,さき,",before,cow,human legs,",",hitoashi,hitoasi,ushi,",さき,セン    さき    ま.ず    Name Readings:  ぽん    ,1 2k1KO
今,now,now ,4,1587,1018,32,32,228,9,55,943,3A23,コン    キン    いま    ,コン、キン,"[今後, 今日, 今朝, 今年, 昨今];  [今上]","[こんご, きょう, けさ, こんねん, さっこん]; [きんじょう]",今,いま,",now,meeting,umbrella,one,7,",",ichi,iti,",いま,コン    キン    いま    Name Readings:  な    ,1 2k1KO
来,come,"come, due, next, cause, become ",7,1884,1033,33,33,274,9,80,2798,4D68,ライ    タイ    く.る    きた.る    きた.す    き.たす    き.たる    き    こ    ,ライ,"[来年, 来歴, 往来]","[らいねん, らいれき, おうらい]",来す; 来る; 来る,きた.す; きた.る; く.る,",come,not yet,animal horns,",",",く-る、きた-る、きた-す,ライ    タイ    く.る    きた.る    きた.す    き.たす    き.たる    き    こ    Name Readings:  くり    くる    ごろ    さ    ,1 2k1KO
行,going,"going, journey ",6,873,974,34,34,55,9,13,898,3954,コウ    ギョウ    アン    い.く    ゆ.く    -ゆ.き    -ゆき    -い.き    -いき    おこな.う    おこ.なう    ,コウ、ギョウ、アン*,"[行進, 行為, 旅行];  [行列, 行政, 修行];  [行脚, 行火]","[こうしん, こうい, りょこう]; [ぎょうれつ, ぎょうせい, しゅぎょう]; [あんぎゃ, あんか]",行く; 行う; 行く,い.く; おこな.う; ゆ.く,",going,boulevard,going,",",gyougamae,",い-く、ゆ-く、おこな-う,コウ    ギョウ    アン    い.く    ゆ.く    -ゆ.き    -ゆき    -い.き    -いき    おこな.う    おこ.なう    Name Readings:  いく    なみ    なめ    みち    ゆき    ゆく    ,1 2k1KO
帰,homecoming,"homecoming, arrive at, lead to, result in ",10,1230,1772,35,35,1018,9,416,472,3522,キ    かえ.る    かえ.す    おく.る    とつ.ぐ    ,キ,"[帰還, 帰納, 復帰]","[きかん, きのう, ふっき]",帰す; 帰る,かえ.す; かえ.る,",homecoming,sword,spear,cutlass,feather duster,broom,apron,crown,towel,",",wakanmuri,rittou,haba,keigashira,keigasira,",かえ-る、かえ-す,キ    かえ.る    かえ.す    おく.る    とつ.ぐ    ,1 2k1KO
大,large,"large, big ",3,107,960,36,36,33,10,4,1763,4267,ダイ    タイ    おお-    おお.きい    -おお.いに    ,ダイ、タイ,"[大小, 大胆, 拡大];  [大衆, 大した, 大して]","[だいしょう, だいたん, かくだい]; [たいしゅう, たいした, たいして]",大; 大いに; 大きい,おお; おお.いに; おお.きい,",large,St. Bernard,",",ookii,",おお、おお-きい、おお-いに,ダイ    タイ    おお-    おお.きい    -おお.いに    Name Readings:  うふ    お    おう    た    たかし    とも    はじめ    ひろ    ひろし    まさ    まさる    もと    わ    ,1 2k1KO
中,in,"in, inside, middle, mean, center ",4,39,57,37,37,35,10,7,1856,4366,チュウ    なか    うち    あた.る    ,チュウ,"[中央, 中毒, 胸中]","[ちゅうおう, ちゅうどく, きょうちゅう]",中,なか,",in,stick,mouth,",",kuchi,kuti,",なか,チュウ    なか    うち    あた.る    Name Readings:  あたる    かなえ    ,1 2k1KO
小,little,"little, small ",3,105,1035,38,38,34,10,65,1330,3E2E,ショウ    ちい.さい    こ-    お-    さ-    ,ショウ,"[小心, 大小, 縮小]","[しょうしん, だいしょう, しゅくしょう]",小; 小; 小さい,お; こ; ちい.さい,",little,small,",",chiisai,",ちい-さい、こ、お,ショウ    ちい.さい    こ-    お-    さ-    Name Readings:  いさら    こう    さざ    しゃお    ちいさ    ,1 2k1KO
少,few,"few, little ",4,106,1407,39,39,677,9,187,1331,3E2F,ショウ    すく.ない    すこ.し    ,ショウ,"[少年, 多少, 減少]","[しょうねん, たしょう, げんしょう]",少ない; 少し,すく.ない; すこ.し,",few,little,small,drop,",",tenn,chiisai,",すく-ない、すこ-し,ショウ    すく.ない    すこ.し    ,1 2k1KO
多,many,"many, frequent, much ",6,108,8,40,40,267,9,115,1723,423F,タ    おお.い    まさ.に    まさ.る    ,タ,"[多少, 多数, 雑多]","[たしょう, たすう, ざった]",多い,おお.い,",many,evening,evening2,",",yuube,",おお-い,タ    おお.い    まさ.に    まさ.る    ,1 2k1KO
上,above,"above, up ",3,49,1657,41,41,41,10,15,1385,3E65,ジョウ    ショウ    シャン    うえ    -うえ    うわ-    かみ    あ.げる    -あ.げる    あ.がる    -あ.がる    あ.がり    -あ.がり    のぼ.る    のぼ.り    のぼ.せる    のぼ.す    よ.す    ,ジョウ、ショウ*,"[上旬, 上昇, 地上];  [上人, 身上をつぶす]","[じょうじゅん, じょうしょう, ちじょう]; [しょうにん, しんじょうをつぶす]",上がる; 上げる; 上; 上; 上す; 上せる; 上る,あ.がる; あ.げる; うえ; かみ; のぼ.す; のぼ.せる; のぼ.る,",above,magic wand,augury,divining rod,one,floor,",",ichi,iti,uranai,bokunoto,",うえ、うわ*、かみ、あ-げる、あ-がる、のぼ-る、のぼ-せる、のぼ-す,ジョウ    ショウ    シャン    うえ    -うえ    うわ-    かみ    あ.げる    -あ.げる    あ.がる    -あ.がる    あ.がり    -あ.がり    のぼ.る    のぼ.り    のぼ.せる    のぼ.す    よ.す    Name Readings:  あおい    あげ    い    か    かき    かず    かん ,1 2k1KO
下,below,"below, down, descend, give, low, inferior ",3,50,958,42,42,40,10,66,216,323C,カ    ゲ    した    しも    もと    さ.げる    さ.がる    くだ.る    くだ.り    くだ.す    -くだ.す    くだ.さる    お.ろす    お.りる    ,カ、ゲ,"[下流, 下降, 落下];  [下水, 下車, 上下]","[かりゅう, かこう, らっか]; [げすい, げしゃ, じょうげ]",下りる; 下ろす; 下さる; 下す; 下る; 下がる; 下げる; 下; 下; 下,お.りる; お.ろす; くだ.さる; くだ.す; くだ.る; さ.がる; さ.げる; した; しも; もと,",below,one,ceiling,magic wand,augury,divining rod,",",ichi,iti,uranai,bokunoto,",した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる,カ    ゲ    した    しも    もと    さ.げる    さ.がる    くだ.る    くだ.り    くだ.す    -くだ.す    くだ.さる    お.ろす    お.りる    Name Readings:  さか    しと    ,1 2k1KO
右,right,right ,5,78,1754,43,43,402,10,592,100,3126,ウ    ユウ    みぎ    ,ウ、ユウ,"[右岸, 右折, 右派];  [左右, 座右]","[みぎぎし, うせつ, うは]; [さゆう, ざゆう]",右,みぎ,",right,by one’s side,mouth,",",kuchi,kuti,",みぎ,ウ    ユウ    みぎ    Name Readings:  あき    すけ    ,1 2k1KO
左,left,left ,5,77,5,44,44,401,10,577,964,3A38,サ    シャ    ひだり    ,サ,"[左右, 左翼, 左遷]","[さゆう, さよく, させん]",左,ひだり,",left,by one’s side,craft,",",takumi,",ひだり,サ    シャ    ひだり    Name Readings:  そ    ,1 2k1KO
方,direction,"direction, person, alternative ",4,490,1316,45,45,173,9,26,2537,4A7D,ホウ    かた    -かた    -がた    ,ホウ,"[方法, 方角, 地方]","[ほうほう, ほうがく, ちほう]",方,かた,",direction,compass,direction,",",kata,",かた,ホウ    かた    -かた    -がた    Name Readings:  から    な    なた    ふさ    まさ    みち    も    わ    ,1 2k1KO
人,person,person ,2,951,962,46,46,15,10,3,1455,3F4D,ジン    ニン    ひと    -り    -と    ,ジン、ニン,"[人道, 人員, 成人];  [人間, 人情, 人形]","[じんどう, じんいん, せいじん]; [にんげん, にんじょう, にんぎょう]",人,ひと,",person,",",hito,ninben,",ひと,ジン    ニン    ひと    -り    -と    Name Readings:  じ    と    ね    ひこ    ふみ    ,1 2k1KO
入,enter,"enter, insert ",2,779,1561,47,47,39,10,40,2162,467E,ニュウ    ジュ    い.る    -い.る    -い.り    い.れる    -い.れ    はい.る    ,ニュウ,"[入学, 侵入, 収入]","[にゅうがく, しんにゅう, しゅうにゅう]",入る; 入れる; 入る,い.る; い.れる; はい.る,",enter,",",iru,",い-る、い-れる、はい-る,ニュウ    ジュ    い.る    -い.る    -い.り    い.れる    -い.れ    はい.る    Name Readings:  いり    いる    に    の    りり    ,1 2k1KO
出,exit,"exit, leave ",5,767,571,48,48,38,10,8,1270,3D50,シュツ    スイ    で.る    -で    だ.す    -だ.す    い.でる    い.だす    ,シュツ、スイ*,"[出入, 出現, 提出];  [出納]","[しゅつにゅう, しゅつげん, ていしゅつ]; [すいとう]",出す; 出る,だ.す; で.る,",exit,",",",で-る、だ-す,シュツ    スイ    で.る    -で    だ.す    -だ.す    い.でる    い.だす    Name Readings:  いず    いづ    いで    じ    すっ    すつ    てん    ,1 2k1KO
外,outside,outside ,5,111,962,49,49,266,9,91,298,3330,ガイ    ゲ    そと    ほか    はず.す    はず.れる    と-    ,ガイ、ゲ,"[外出, 海外, 除外];  [外科, 外題, 外道]","[がいしゅつ, かいがい, じょがい]; [げか, げだい, がいどう]",外; 外す; 外れる; 外,そと; はず.す; はず.れる; ほか,",outside,evening,magic wand,augury,",",uranai,bokunoto,yuube,",そと、ほか、はず-す、はず-れる,ガイ    ゲ    そと    ほか    はず.す    はず.れる    と-    Name Readings:  うい    け    ふか    ,1 2k1KO
内,inside,"inside, within, between, among, house, home ",4,1019,944,50,50,215,9,48,2134,4662,ナイ    ダイ    うち    ,ナイ、ダイ*,"[内外, 内容, 家内];  [内裏, 参内]","[ないがい, ないよう, かない]; [だいり, さんだい]",内,うち,",inside,person,belt,",",hito,ninben,",うち,ナイ    ダイ    うち    Name Readings:  いと    ただ    ち    のち    ,1 2k1KO
本,book,"book, present, main, true, real, counter for long things ",5,211,986,51,51,31,10,5,2598,4B5C,ホン    もと    ,ホン,"[本質, 本来, 資本]","[ほんしつ, ほんらい, しほん]",本,もと,",book,tree,wood,one,",",ichi,iti,ki,moku,",もと,ホン    もと    Name Readings:  まと    ,1 2k1KO
休,rest,"rest, day off, retire, sleep ",6,965,1574,52,52,61,10,581,527,3559,キュウ    やす.む    やす.まる    やす.める    ,キュウ,"[休止, 休憩, 定休]","[きゅうし, きゅうけい, ていきゅう]",休まる; 休む; 休める,やす.まる; やす.む; やす.める,",rest,person,tree,wood,",",hito,ninben,ki,moku,",やす-む、やす-まる、やす-める,キュウ    やす.む    やす.まる    やす.める    ,1 2k1KO
体,body,"body, substance, object, reality, counter for images ",7,957,1084,53,53,62,9,71,1738,424E,タイ    テイ    からだ    かたち    ,タイ、テイ,"[体格, 人体, 主体];  [体裁, 風体]","[たいかく, じんたい, しゅたい]; [ていさい, ふうてい]",体,からだ,",body,person,origin,book,tree,wood,one,",",ichi,iti,hito,ninben,ki,moku,",からだ,タイ    テイ    からだ    かたち    Name Readings:  なり    ,1 2k1KO
力,power,"power, strong, strain, bear up, exert ",2,858,567,54,54,84,10,53,2867,4E4F,リョク    リキ    リイ    ちから    ,リョク、リキ,"[権力, 努力, 能力];  [力量, 力作, 馬力]","[けんりょく, どりょく, のうりょく]; [りきりょう, りきさく, ばりき]",力,ちから,",power,muscle,arnold,",",chikara,tikara,",ちから,リョク    リキ    リイ    ちから    Name Readings:  じから    つとむ    ,1 2k1KO
協,co-,"co-, cooperation ",8,872,304,55,55,543,7,237,572,3628,キョウ    ,キョウ,"[協力, 協会, 妥協]","[きょうりょく, きょうかい, だきょう]",,,",co-,ten,needle,triceps,power,muscle,arnold,power3,muscle3,arnold3,",",chikara,tikara,juu,",,キョウ    ,1 2k1KO
目,eye,"eye, class, look, insight, experience, care, favor ",5,15,1129,56,56,21,10,54,2692,4C5C,モク    ボク    め    -め    ま-    ,モク、ボク*,"[目的, 目前, 項目];  [面目]","[もくてき, もくぜん, こうもく]; [めんぼく]",目,め,",eye,",",me,",め、ま*,モク    ボク    め    -め    ま-    Name Readings:  さかん    さがん    さっか    さつか    ,1 2k1KO
口,mouth,mouth ,3,11,1556,57,57,19,10,229,845,387D,コウ    ク    くち    ,コウ、ク,"[口述, 人口, 開口];  [口調, 口伝, 異口同音]","[こうじゅつ, じんこう, かいこう]; [くちょう, くでん, いくどうおん]",口,くち,",mouth,",",kuchi,kuti,",くち,コウ    ク    くち    ,1 2k1KO
耳,ear,ear ,6,818,1834,58,58,57,10,1146,1138,3C2A,ジ    みみ    ,ジ,"[耳鼻科, 中耳炎]","[じびか, ちゅうじえん]",耳,みみ,",ear,",",mimi,",みみ,ジ    みみ    Name Readings:  がみ    ,1 2k1KO
手,hand,hand ,4,637,1052,59,59,46,10,36,1202,3C6A,シュ    ズ    て    て-    -て    た-    ,シュ,"[手腕, 挙手, 選手]","[しゅわん, きょしゅ, せんしゅ]",手,て,",hand,",",te,tehen,",て、た*,シュ    ズ    て    て-    -て    た-    ,1 2k1KO
足,leg,"leg, foot, be sufficient, counter for pairs of footwear ",7,1279,336,60,60,44,10,286,1705,422D,ソク    あし    た.りる    た.る    た.す    ,ソク,"[足跡, 遠足, 補足]","[そくせき, えんそく, ほそく]",足; 足す; 足りる; 足る,あし; た.す; た.りる; た.る,",leg,mouth,mending,mend,",",kuchi,kuti,ashi,",あし、た-りる、た-る、た-す,ソク    あし    た.りる    た.る    た.す    Name Readings:  あ    あす    おす    たらし    ,1 2k1KO
山,mountain,mountain ,3,768,985,61,61,37,10,75,1053,3B33,サン    セン    やま    ,サン,"[山脈, 高山, 登山]","[さんみゃく, こうざん, とざん]",山,やま,",mountain,",",yama,",やま,サン    セン    やま    Name Readings:  さ    やの    やん    ,1 2k1KO
川,stream,"stream, river ",3,127,1832,62,62,22,10,133,1582,406E,セン    かわ    ,セン,"[川柳, 河川]","[せんりゅう, かせん]",川,かわ,",stream,flood,",",kawa,",かわ,セン    かわ    Name Readings:  か    こ    さわ    T2さんぼんがわ    ,1 2k1KO
空,empty,"empty, sky, void, vacant, vacuum ",8,1317,556,63,63,398,10,256,649,3675,クウ    そら    あ.く    あ.き    あ.ける    から    す.く    す.かす    むな.しい    ,クウ,"[空想, 空港, 上空]","[くうそう, くうこう, じょうくう]",空く; 空ける; 空; 空,あ.く; あ.ける; から; そら,",empty,hole,house,human legs,craft,",",hitoashi,hitoasi,ukanmuri,takumi,ana,",そら、あ-く、あ-ける、から,クウ    そら    あ.く    あ.き    あ.ける    から    す.く    す.かす    むな.しい    Name Readings:  うつ    き    く    ,1 2k1KO
海,sea,"sea, ocean ",9,461,1101,64,64,106,9,167,286,3324,カイ    うみ    ,カイ,"[海岸, 海水浴, 航海]","[かいがん, かいすいよく, こうかい]",海,うみ,",sea,water,water droplets,water pistol,every,reclining,lying down,mother,breasts,",",haha,mizu,sanzui,",うみ,カイ    うみ    Name Readings:  あ    あま    うな    うん    え    か    た    ひろ    ひろし    ぶ    まち    まま    み    め    わたる    ,1 2k1KO
毎,every,every ,6,458,1031,65,65,105,9,523,2610,4B68,マイ    ごと    -ごと.に    ,マイ,"[毎度, 毎日, 毎々]","[まいど, まいにち, まいまい]",,,",every,reclining,lying down,mother,",",haha,",,マイ    ごと    -ごと.に    Name Readings:  つね    ,1 2k1KO
